id	string	family	given	name	flag	start	end
bm000381088	Harvey, Henry Herbert	Harvey	Henry Herbert	Henry Herbert Harvey			
bm000152203	Kranitz, M.-L. (fl. 2002)	Kranitz	M.-L.	M.-L. Kranitz	fl. 	2002	
bm000147284	Camargo, O.M.	Camargo	O.M.	O.M. Camargo			
bm000356359	Thomson, Jane Smithson (-1972)	Thomson	Jane Smithson	Jane Smithson Thomson			
bm000151172	El-Mahdi, M. (fl. 1967-1971)	El-Mahdi	M.	M. El-Mahdi	fl. 	1967	1971
bm000069447	Imkhanitskaya, N.N. (1935-)	Imkhanitskaya	N.N.	N.N. Imkhanitskaya		1935	
bm000361513	White, Douglas M.	White	Douglas M.	Douglas M. White			
bm000368801	Upton, Walter T. (1922-)	Upton	Walter T.	Walter T. Upton		1922	
bm000002923	Gerstner, Jacob (1888-1948)	Gerstner	Jacob	Jacob Gerstner		1888	1948
bm000381644	Barua, Iswar	Barua	Iswar	Iswar Barua			
bm000133882	Mbaye, Mame Samba (1967-)	Mbaye	Mame Samba	Mame Samba Mbaye		1967	
bm000062444	Fairall, Arthur Robert (1920-1970)	Fairall	Arthur Robert	Arthur Robert Fairall		1920	1970
bm000375523	Velčev, V.	Velčev	V.	V. Velčev			
bm000036963	Laughlin, Robert M. (1934-)	Laughlin	Robert M.	Robert M. Laughlin		1934	
bm000364588	Browne, G.M. (fl. 1862-1866)	Browne	G.M.	G.M. Browne	fl. 	1862	1866
bm000353651	Duerinck	Duerinck             					
bm000138926	Astorga, Rosa	Astorga	Rosa	Rosa Astorga			
bm000366791	Karsch, Anton (1822-1892)	Karsch	Anton	Anton Karsch		1822	1892
bm000008124	Stephens, Edith Layard (1884-1966)	Stephens	Edith Layard	Edith Layard Stephens		1884	1966
bm000154152	Storey, W.B. (fl. 1941-1966)	Storey	W.B.	W.B. Storey	fl. 	1941	1966
bm000072758	Volponi, Carola Regina (fl. 1971-1992)	Volponi	Carola Regina	Carola Regina Volponi	fl. 	1971	1992
bm000152386	Li, J.-J. (fl. 1995-2003)	Li	J.-J.	J.-J. Li	fl. 	1995	2003
bm000341070	Le Coq	Le Coq             					
bm000400470	Hayes, H.C. (fl. 1949)	Hayes	H.C.	H.C. Hayes	fl. 	1949	
bm000338921	Grundwell, A.C.	Grundwell	A.C.	A.C. Grundwell			
bm000040893	Hart, Jeffrey A. (fl. 1985)	Hart	Jeffrey A.	Jeffrey A. Hart	fl. 	1985	
bm000116484	Díaz, Chavarria (fl. 1988)	Díaz	Chavarria	Chavarria Díaz	fl. 	1988	
bm000366332	Henning, Ernst Johan (1857-1929)	Henning	Ernst Johan	Ernst Johan Henning		1857	1929
bm000343947	Bird	Bird             					
bm000125055	White, I. (fl. 1978)	White	I.	I. White	fl. 	1978	
bm000053365	Poerio, C.	Poerio	C.	C. Poerio			
bm000077272	Meyer, Johannes August Theodor (Hans) (1885-1935)	Meyer	Johannes August Theodor	Johannes August Theodor Meyer			
bm000353243	Schaper	Schaper             					
bm000006669	Poselger, Heinrich (1818-1883)	Poselger	Heinrich	Heinrich Poselger		1818	1883
bm000334728	Adigüzel, Nezaket	Adigüzel	Nezaket	Nezaket Adigüzel			
bm000339476	Fréres des Ecoles Chrétiennes	Fréres des Ecoles Chrétiennes             					
bm000039837	Durègne (fl. 1884)	Durègne (fl. 1884)             					
bm000361491	Parrott, W.C.	Parrott	W.C.	W.C. Parrott			
bm000366092	Godward, Maud Beatrice Ethel (1910-)	Godward	Maud Beatrice Ethel	Maud Beatrice Ethel Godward		1910	
bm000383330	Sakaguchi, S.	Sakaguchi	S.	S. Sakaguchi			
bm000329545	Oettinger, Frederick W.	Oettinger	Frederick W.	Frederick W. Oettinger			
bm000361451	Stewart, A.J.	Stewart	A.J.	A.J. Stewart			
bm000361514	Räsänen, Kaarin	Räsänen	Kaarin	Kaarin Räsänen			
bm000137221	Tenorio, Guillermo (fl. 1982-1992)	Tenorio	Guillermo	Guillermo Tenorio	fl. 	1982	1992
bm000346585	Stewart, H.	Stewart	H.	H. Stewart			
bm000337628	Sirén, Mika (1913-)	Sirén	Mika	Mika Sirén		1913	
bm000053410	Fritsch, K. (fl. 1897)	Fritsch	K.	K. Fritsch	fl. 	1897	
bm000128742	Yates, M.J.	Yates	M.J.	M.J. Yates			
bm000153518	Rasoja, G.	Rasoja	G.	G. Rasoja			
bm000349467	Watson, Rosa Bolles	Watson	Rosa Bolles	Rosa Bolles Watson			
bm000348220	Altheer, J.J. (-1863)	Altheer	J.J.	J.J. Altheer			
bm000026453	Carr, John Denzil (1916-1997)	Carr	John Denzil	John Denzil Carr		1916	1997
bm000378335	Strong, William C.	Strong	William C.	William C. Strong			
bm000010151	Bowdich, Sarah (1791-1877)	Bowdich	Sarah	Sarah Bowdich		1791	1877
bm000031544	Apac Yabar, Juan M.	Apac Yabar	Juan M.	Juan M. Apac Yabar			
bm000007889	Skottsberg, Carl Johan Fredrik (1880-1963)	Skottsberg	Carl Johan Fredrik	Carl Johan Fredrik Skottsberg		1880	1963
bm000359656	Pierce, L.	Pierce	L.	L. Pierce			
bm000058597	Bellamy, Frank Arthur (1861-1936)	Bellamy	Frank Arthur	Frank Arthur Bellamy		1861	1936
bm000062585	Richards, James Donald (Don) (1920-1980)	Richards	James Donald	James Donald Richards			
bm000341137	Masters, L.K.	Masters	L.K.	L.K. Masters			
bm000356557	Senff	Senff             					
bm000153687	Robbins, G. (fl. 1932)	Robbins	G.	G. Robbins	fl. 	1932	
bm000077704	Infantes Vera, Juana G. (fl. 1945-1962)	Infantes Vera	Juana G.	Juana G. Infantes Vera	fl. 	1945	1962
bm000347893	Vongelhardt	Vongelhardt             					
bm000372522	Walter, F.	Walter	F.	F. Walter			
bm000357751	Veer, H. de	Veer	H. de	H. de Veer			
bm000334429	Mesa, A. de	Mesa	A. de	A. de Mesa			
bm000147154	Baró, Isora	Baró	Isora	Isora Baró			
bm000350036	Reuss, August Leopold von	Reuss	August Leopold von	August Leopold von Reuss			
bm000338327	Hapgood, I.F.	Hapgood	I.F.	I.F. Hapgood			
bm000151432	Gaudreau, L.	Gaudreau	L.	L. Gaudreau			
bm000144544	Kauffman, Maria Eneyda Pacheco (1928-1970)	Kauffman	Maria Eneyda Pacheco	Maria Eneyda Pacheco Kauffman		1928	1970
bm000337263	Burrow, R.F.	Burrow	R.F.	R.F. Burrow			
bm000154276	Terrazas S., T. (fl. 1998-2006)	Terrazas S.	T.	T. Terrazas S.	fl. 	1998	2006
bm000154314	Timmerman, M.	Timmerman	M.	M. Timmerman			
bm000379227	Treichel, Alexander (Johann August) (1837-1901)	Treichel	Alexander	Alexander Treichel			
bm000031384	Longhiwagner, H.M.	Longhiwagner	H.M.	H.M. Longhiwagner			
bm000383252	Heald, Frederick De Forest (1872-1954)	Heald	Frederick De Forest	Frederick De Forest Heald		1872	1954
bm000002963	Gillett, John Montague (1918-)	Gillett	John Montague	John Montague Gillett		1918	
bm000361258	Ruth, H.J.	Ruth	H.J.	H.J. Ruth			
bm000124708	Brimeyer (fl. 1938)	Brimeyer (fl. 1938)             					
bm000055812	Virasoro, Carlos A.	Virasoro	Carlos A.	Carlos A. Virasoro			
bm000337482	Vinot, Marie Joseph (1880-)	Vinot	Marie Joseph	Marie Joseph Vinot		1880	
bm000348468	Münichen, E.	Münichen	E.	E. Münichen			
bm000200619	Winter, H. (1893-1975)	Winter	H.	H. Winter		1893	1975
bm000383351	Shiller, Ivan (1895-)	Shiller	Ivan	Ivan Shiller		1895	
bm000325504	Roos, Lucille	Roos	Lucille	Lucille Roos			
bm000372645	Ludwig, Christian Gottlieb (1709-1773)	Ludwig	Christian Gottlieb	Christian Gottlieb Ludwig		1709	1773
bm000128760	Mbaniboua, A. (fl. 2001-2004)	Mbaniboua	A.	A. Mbaniboua	fl. 	2001	2004
bm000061566	Thiergart, Friedrich (1905-)	Thiergart	Friedrich	Friedrich Thiergart		1905	
bm000030868	Lucas (fl. 1877-1879)	Lucas (fl. 1877-1879)             					
bm000337688	Atwater, C.B.	Atwater	C.B.	C.B. Atwater			
bm000200468	Russell, S.J. (1959-)	Russell	S.J.	S.J. Russell		1959	
bm000139838	Price, R.H. (fl. 2003)	Price	R.H.	R.H. Price	fl. 	2003	
bm000343012	Simard, J.N.	Simard	J.N.	J.N. Simard			
bm000150166	Anthen, E.M. (fl. 1908)	Anthen	E.M.	E.M. Anthen	fl. 	1908	
bm000049725	Calot (fl. 1874-1876)	Calot (fl. 1874-1876)             					
bm000142773	Moczydłowska-Vidal, Malgorzata (fl. 1998-2007)	Moczydłowska-Vidal	Malgorzata	Malgorzata Moczydłowska-Vidal	fl. 	1998	2007
bm000342935	Boedin	Boedin             					
bm000036187	Polakowsky, Hellmuth	Polakowsky	Hellmuth	Hellmuth Polakowsky			
bm000337410	Singleton, G.	Singleton	G.	G. Singleton			
bm000042871	Bryan, Edwin Horace (1898-1985)	Bryan	Edwin Horace	Edwin Horace Bryan		1898	1985
bm000025466	Tirel, Christiane (1939-)	Tirel	Christiane	Christiane Tirel		1939	
bm000381221	Farrah, John (1849-1907)	Farrah	John	John Farrah		1849	1907
bm000356850	Šimr, J.	Šimr	J.	J. Šimr			
bm000360630	Wahlstedt, Axel	Wahlstedt	Axel	Axel Wahlstedt			
bm000044433	Verhoeven, Rudolph L. (1945-)	Verhoeven	Rudolph L.	Rudolph L. Verhoeven		1945	
bm000139283	Pérez, G. (fl. 2005)	Pérez	G.	G. Pérez	fl. 	2005	
bm000128085	Strauss, S.E. (fl. 1988)	Strauss	S.E.	S.E. Strauss	fl. 	1988	
bm000382690	Martin, Robert Franklin (1910-)	Martin	Robert Franklin	Robert Franklin Martin		1910	
bm000052248	Franco, Coaracy Moraes (1912-)	Franco	Coaracy Moraes	Coaracy Moraes Franco		1912	
bm000122321	Green, M. (fl. 1991)	Green	M.	M. Green	fl. 	1991	
bm000360341	Pealling, R.J.	Pealling	R.J.	R.J. Pealling			
bm000347243	Walt, L.	Walt	L.	L. Walt			
bm000145058	Moreno, Luis Rene (1931-)	Moreno	Luis Rene	Luis Rene Moreno		1931	
bm000123420	Nicollon des Abbayes, Henri Robert	Nicollon des Abbayes	Henri Robert	Henri Robert Nicollon des Abbayes			
bm000334032	Morris, Albert (1886-1939)	Morris	Albert	Albert Morris		1886	1939
bm000150071	Akkermans, A.D.L. (fl. 2002)	Akkermans	A.D.L.	A.D.L. Akkermans	fl. 	2002	
bm000369771	Li, Qi (1928-)	Li	Qi	Qi Li		1928	
bm000355592	Tse, Dor	Tse	Dor	Dor Tse			
bm000064301	Le Roy, J.	Le Roy	J.	J. Le Roy			
bm000361482	Mäkirinta, Urho	Mäkirinta	Urho	Urho Mäkirinta			
bm000063694	Ley, Friedrich	Ley	Friedrich	Friedrich Ley			
bm000346392	Macy-Noyes, K.	Macy-Noyes	K.	K. Macy-Noyes			
bm000352653	Sugahara, S.	Sugahara	S.	S. Sugahara			
bm000128684	Cattell, June (1944-)	Cattell	June	June Cattell		1944	
bm000055108	Gironcourt, Georges Reynard de (fl. 1908-1920)	Gironcourt	Georges Reynard de	Georges Reynard de Gironcourt	fl. 	1908	1920
bm000349325	Sario, Inocencio H. (1928-)	Sario	Inocencio H.	Inocencio H. Sario		1928	
bm000357484	Storm, Earl V.	Storm	Earl V.	Earl V. Storm			
bm000353456	Kreuzfeldt, F.	Kreuzfeldt	F.	F. Kreuzfeldt			
bm000381085	Irving, Walter (1867-1934)	Irving	Walter	Walter Irving		1867	1934
bm000057116	Acebes, J.R.	Acebes	J.R.	J.R. Acebes			
bm000327292	Costa y Cuxart, Antonio Cipriano (1817-1886)	Costa y Cuxart	Antonio Cipriano	Antonio Cipriano Costa y Cuxart		1817	1886
bm000350627	Rasdi, M.	Rasdi	M.	M. Rasdi			
bm000325663	Johnson, Robert L.	Johnson	Robert L.	Robert L. Johnson			
bm000375888	Fontaine, A. (1826-1882)	Fontaine	A.	A. Fontaine		1826	1882
bm000063868	Watts, Francis (1859-1930)	Watts	Francis	Francis Watts		1859	1930
bm000366166	Gureeva, I.I. (1955-)	Gureeva	I.I.	I.I. Gureeva		1955	
bm000153055	Paillot, Justin (1829-1891)	Paillot	Justin	Justin Paillot		1829	1891
bm000373040	Tsoong, Chi-Hsin	Tsoong	Chi-Hsin	Chi-Hsin Tsoong			
bm000353093	Mader, Ernest	Mader	Ernest	Ernest Mader			
bm000150238	B.C.	B.C.             					
bm000353618	Tesch, P.	Tesch	P.	P. Tesch			
bm000356890	Kroon, H.M.M. van der	Kroon	H.M.M. van der	H.M.M. van der Kroon			
bm000363624	Cady, Leo I. (fl. 1964)	Cady	Leo I.	Leo I. Cady	fl. 	1964	
bm000369851	Meisch, Jim (1953-)	Meisch	Jim	Jim Meisch		1953	
bm000063601	Monard, P. (fl. 1831-1843)	Monard	P.	P. Monard	fl. 	1831	1843
bm000400300	Darnton, S.	Darnton	S.	S. Darnton			
bm000117118	Bayona, H. (fl. 1984)	Bayona	H.	H. Bayona	fl. 	1984	
bm000357522	Saldanka, C.	Saldanka	C.	C. Saldanka			
bm000353149	Shiiba, S.	Shiiba	S.	S. Shiiba			
bm000375999	Velázquez, C.	Velázquez	C.	C. Velázquez			
bm000360468	Cohen, Arthur Le Roy (1916-)	Cohen	Arthur Le Roy	Arthur Le Roy Cohen		1916	
bm000140210	Bejarano, H. (fl. 2005)	Bejarano	H.	H. Bejarano	fl. 	2005	
bm000052991	Robertson, James (fl. 1760-1776)	Robertson	James	James Robertson	fl. 	1760	1776
bm000327725	Cowen, Jacob Hoover (-1900)	Cowen	Jacob Hoover	Jacob Hoover Cowen			
bm000005579	Mell, Clayton Dissinger (1875-1945)	Mell	Clayton Dissinger	Clayton Dissinger Mell		1875	1945
bm000392846	Jeanbernat, Ernest-Jules-Marie (1835-1888)	Jeanbernat	Ernest-Jules-Marie	Ernest-Jules-Marie Jeanbernat		1835	1888
bm000024772	Cabrera, Isidoro	Cabrera	Isidoro	Isidoro Cabrera			
bm000041460	Prather, L. Alan (1965-)	Prather	L. Alan	L. Alan Prather		1965	
bm000137106	Arango, Juan Guillermo Ramirez (fl. 1993)	Arango	Juan Guillermo Ramirez	Juan Guillermo Ramirez Arango	fl. 	1993	
bm000374031	Wang, H.	Wang	H.	H. Wang			
bm000364368	McNeely, J.A.	McNeely	J.A.	J.A. McNeely			
bm000139142	Viñals, J.	Viñals	J.	J. Viñals			
bm000342616	Nasi, R.	Nasi	R.	R. Nasi			
bm000007126	Roíg y Mesa, Juan Tomás (1877-1971)	Roíg y Mesa	Juan Tomás	Juan Tomás Roíg y Mesa		1877	1971
bm000124356	Alfaro Vindas, Evelio (fl. 1983-2004)	Alfaro Vindas	Evelio	Evelio Alfaro Vindas	fl. 	1983	2004
bm000371159	Eliot, Alethea (fl. 1910-1976)	Eliot	Alethea	Alethea Eliot	fl. 	1910	1976
bm000347410	Nehrenst, Eduard (1822-1865)	Nehrenst	Eduard	Eduard Nehrenst		1822	1865
bm000140144	Lister, A. (fl. 1925)	Lister	A.	A. Lister	fl. 	1925	
bm000139299	Cosby, Stanley Wallace (fl. 1926-1941)	Cosby	Stanley Wallace	Stanley Wallace Cosby	fl. 	1926	1941
bm000065534	Vélez Nauer, Cristina (fl. 1984-1998)	Vélez Nauer	Cristina	Cristina Vélez Nauer	fl. 	1984	1998
bm000009705	Landrum, Leslie Roger (Les) (1946-)	Landrum	Leslie Roger	Leslie Roger Landrum			
bm000139104	Batalla de Rodríguez, María Agustina (fl. 1940-1963)	Batalla de Rodríguez	María Agustina	María Agustina Batalla de Rodríguez	fl. 	1940	1963
bm000300273	Mateer, William (fl. 1830-1850)	Mateer	William	William Mateer	fl. 	1830	1850
bm000375619	Lindhard, Johannes (1870-1947)	Lindhard	Johannes	Johannes Lindhard		1870	1947
bm000353317	Morgan, R.T.	Morgan	R.T.	R.T. Morgan			
bm000065448	Williams, I. (fl. 1962-1962)	Williams	I.	I. Williams	fl. 	1962	1962
bm000383377	Beresford, Jane Elisabeth (1957-)	Beresford	Jane Elisabeth	Jane Elisabeth Beresford		1957	
bm000338056	Stengel, Gottfried von (1761-1839)	Stengel	Gottfried von	Gottfried von Stengel		1761	1839
bm000324723	Castaño, C.J.	Castaño	C.J.	C.J. Castaño			
bm000041671	Botteri, Mateo (1808-1877)	Botteri	Mateo	Mateo Botteri		1808	1877
bm000151608	Hörandl, E. (fl. 1994-2001)	Hörandl	E.	E. Hörandl	fl. 	1994	2001
bm000345778	Barbier, Maxime	Barbier	Maxime	Maxime Barbier			
bm000002014	Desfontaines, René Louiche (1750-1833)	Desfontaines	René Louiche	René Louiche Desfontaines		1750	1833
bm000348504	Askey, J.E.	Askey	J.E.	J.E. Askey			
bm000357628	Weidmann, E.	Weidmann	E.	E. Weidmann			
bm000200183	Gentry, Harold S.	Gentry	Harold S.	Harold S. Gentry			
bm000137635	Lozano, Pablo (fl. 1994-2004)	Lozano	Pablo	Pablo Lozano	fl. 	1994	2004
bm000007673	Seemann, Berthold Carl (1825-1871)	Seemann	Berthold Carl	Berthold Carl Seemann		1825	1871
bm000349969	Lynch, S.J.	Lynch	S.J.	S.J. Lynch			
bm000368351	Sauvaigo, Émile (1856-1927)	Sauvaigo	Émile	Émile Sauvaigo		1856	1927
bm000141640	Makings, E. (fl. 2002)	Makings	E.	E. Makings	fl. 	2002	
bm000025833	Van Roeckhoudt (1906-)	Van Roeckhoudt (1906-)             					
bm000045904	Morris, Jeffrey William (1944-)	Morris	Jeffrey William	Jeffrey William Morris		1944	
bm000346336	Nikitina, A.	Nikitina	A.	A. Nikitina			
bm000042352	Prater (fl. 1884)	Prater (fl. 1884)             					
bm000365279	Gravesend, R.P.	Gravesend	R.P.	R.P. Gravesend			
bm000375220	Collier, Joseph	Collier	Joseph	Joseph Collier			
bm000153515	Rasalison	Rasalison             					
bm000138303	Rodriguez, M. (fl. 1997-1998)	Rodriguez	M.	M. Rodriguez	fl. 	1997	1998
bm000330407	Brunard, André	Brunard	André	André Brunard			
bm000364858	Neuman, H. (fl. 1838-1840)	Neuman	H.	H. Neuman	fl. 	1838	1840
bm000339426	Moulton's native collectors (fl. 1913)	Moulton's native collectors (fl. 1913)             					
bm000348338	Nishi, Yasumichi	Nishi	Yasumichi	Yasumichi Nishi			
bm000371979	Stephens	Stephens             					
bm000151070	Doty, Maxwell Stanford (1916-1996)	Doty	Maxwell Stanford	Maxwell Stanford Doty		1916	1996
bm000361018	Tameney	Tameney             					
bm000334369	Janeway, Lawrence Paul (1949-)	Janeway	Lawrence Paul	Lawrence Paul Janeway		1949	
bm000043613	Arnot, David (1821-1894)	Arnot	David	David Arnot		1821	1894
bm000362898	Wilmot-Dear, Christine Melanie (1952-)	Wilmot-Dear	Christine Melanie	Christine Melanie Wilmot-Dear		1952	
bm000062900	Moraes, E.C.C. de	Moraes	E.C.C. de	E.C.C. de Moraes			
bm000116605	Fischer, Walter (fl. 1913-1915)	Fischer	Walter	Walter Fischer	fl. 	1913	1915
bm000350891	Butterworth	Butterworth             					
bm000362878	Clokie, J.	Clokie	J.	J. Clokie			
bm000133553	Munjoma, S. (fl. 1982)	Munjoma	S.	S. Munjoma	fl. 	1982	
bm000336434	Singh, Umrao	Singh	Umrao	Umrao Singh			
bm000353252	Lehmann, K.	Lehmann	K.	K. Lehmann			
bm000137460	Hashimoto, Yohei (fl. 1965)	Hashimoto	Yohei	Yohei Hashimoto	fl. 	1965	
bm000119846	Seifritz	Seifritz             					
bm000348473	Closter	Closter             					
bm000327060	Persoon, Christiaan Hendrik (1761-1836)	Persoon	Christiaan Hendrik	Christiaan Hendrik Persoon		1761	1836
bm000152647	McCormick, Robert (1800-1890)	McCormick	Robert	Robert McCormick		1800	1890
bm000352311	Oppenheimer	Oppenheimer             					
bm000131533	Queiroz, R.F. (fl. 1991)	Queiroz	R.F.	R.F. Queiroz	fl. 	1991	
bm000367108	Londes, Friedrich Wilhelm (1780-1807)	Londes	Friedrich Wilhelm	Friedrich Wilhelm Londes		1780	1807
bm000129495	Swaine, M.D. (fl. 1973-1976)	Swaine	M.D.	M.D. Swaine	fl. 	1973	1976
bm000153912	Schwaegrichen, C.F. (1775-1853)	Schwaegrichen	C.F.	C.F. Schwaegrichen		1775	1853
bm000338349	Hatton, John H. (-1942)	Hatton	John H.	John H. Hatton			
bm000056533	Martins, Dayse V. (1935-)	Martins	Dayse V.	Dayse V. Martins		1935	
bm000138356	Eldridge, G. (fl. 2000)	Eldridge	G.	G. Eldridge	fl. 	2000	
bm000042418	Zogg, Hans (1949-)	Zogg	Hans	Hans Zogg		1949	
bm000063569	Richardson, Arthur Johnstone (fl. 1898-1901)	Richardson	Arthur Johnstone	Arthur Johnstone Richardson	fl. 	1898	1901
bm000347154	Sheridan	Sheridan             					
bm000118090	James, V. (fl. 1991-1995)	James	V.	V. James	fl. 	1991	1995
bm000372683	Mathews, Mary Elizabeth	Mathews	Mary Elizabeth	Mary Elizabeth Mathews			
bm000137671	Martins, Eliana Regina Forni (1957-)	Martins	Eliana Regina Forni	Eliana Regina Forni Martins		1957	
bm000152356	Lejeune-Carpentier, M. (-1951)	Lejeune-Carpentier	M.	M. Lejeune-Carpentier			
bm000351541	Okanawa, Akaska	Okanawa	Akaska	Akaska Okanawa			
bm000324331	Gomes da Silva, Sandra Jules	Gomes da Silva	Sandra Jules	Sandra Jules Gomes da Silva			
bm000324384	Öhrstedt, Gustaf (1862-)	Öhrstedt	Gustaf	Gustaf Öhrstedt		1862	
bm000341252	Sousa, Leandro de O. Furtado de	Sousa	Leandro de O. Furtado de	Leandro de O. Furtado de Sousa			
bm000327476	Chow, Ho-Chang	Chow	Ho-Chang	Ho-Chang Chow			
bm000375651	Wichmann, Carl Ernst Arthur (1851-1927)	Wichmann	Carl Ernst Arthur	Carl Ernst Arthur Wichmann		1851	1927
bm000335848	Taylor, James (1823-1913)	Taylor	James	James Taylor		1823	1913
bm000152369	Leschke, H. (fl. 1961)	Leschke	H.	H. Leschke	fl. 	1961	
bm000378558	Andersson, Torsten	Andersson	Torsten	Torsten Andersson			
bm000027131	Sérusiaux, Emmanuël (1953-)	Sérusiaux	Emmanuël	Emmanuël Sérusiaux		1953	
bm000140490	Moreyra, Santiago	Moreyra	Santiago	Santiago Moreyra			
bm000360933	Anderson, Rudolph Martin (1876-1961)	Anderson	Rudolph Martin	Rudolph Martin Anderson		1876	1961
bm000354918	Foster, Amy Caroline Sophie (1859-1915)	Foster	Amy Caroline Sophie	Amy Caroline Sophie Foster		1859	1915
bm000150550	Brims, M.H. (fl. 1995-2004)	Brims	M.H.	M.H. Brims	fl. 	1995	2004
bm000342956	Wickett, Norm (Ace Catfish)	Wickett	Norm	Norm Wickett			
bm000001343	Cedercreutz, Carl Wilhelm (1893-1968)	Cedercreutz	Carl Wilhelm	Carl Wilhelm Cedercreutz		1893	1968
bm000059802	Stork, Harvey Elmer (1890-1959)	Stork	Harvey Elmer	Harvey Elmer Stork		1890	1959
bm000055303	Verreaux, Jules Pierre (1807-1873)	Verreaux	Jules Pierre	Jules Pierre Verreaux		1807	1873
bm000347703	O'Bryen, E.	O'Bryen	E.	E. O'Bryen			
bm000338101	McDowell, Willard A.	McDowell	Willard A.	Willard A. McDowell			
bm000392977	Thornhill, John (1815-1875)	Thornhill	John	John Thornhill		1815	1875
bm000380706	Edgar, Robert K. (1943-)	Edgar	Robert K.	Robert K. Edgar		1943	
bm000127012	Aninze, E.A. (fl. 1946)	Aninze	E.A.	E.A. Aninze	fl. 	1946	
bm000133602	Arnold, E.	Arnold	E.	E. Arnold			
bm000366228	Liang, Hong-Ping (1963-)	Liang	Hong-Ping	Hong-Ping Liang		1963	
bm000057977	Llamas, Antonio de (fl. 1901)	Llamas	Antonio de	Antonio de Llamas	fl. 	1901	
bm000381966	Piper, Randall Howe	Piper	Randall Howe	Randall Howe Piper			
bm000390163	Verdoorn, Frans (1906-1984)	Verdoorn	Frans	Frans Verdoorn		1906	1984
bm000368399	Schwencke, Martinus Wilhelm (1707-1785)	Schwencke	Martinus Wilhelm	Martinus Wilhelm Schwencke		1707	1785
bm000371042	Contejean, Charles Louis (1824-1907)	Contejean	Charles Louis	Charles Louis Contejean		1824	1907
bm000030918	Mesa, E. (fl. 1994)	Mesa	E.	E. Mesa	fl. 	1994	
bm000347748	Scherer, G.A.	Scherer	G.A.	G.A. Scherer			
bm000011836	Vázquez Torres, Mario (fl. 1980-1992)	Vázquez Torres	Mario	Mario Vázquez Torres	fl. 	1980	1992
bm000351941	Danger, W.J.	Danger	W.J.	W.J. Danger			
bm000059291	Wilson, V.J. (fl. 1963)	Wilson	V.J.	V.J. Wilson	fl. 	1963	
bm000039868	Jameson, Rachel (-1893)	Jameson	Rachel	Rachel Jameson			
bm000333496	Vicioso Martínez, Carlos (c. 1897-1968)	Vicioso Martínez	Carlos	Carlos Vicioso Martínez			
bm000362728	Bacon, Elizabeth E. (fl.1939-1970)	Bacon	Elizabeth E.	Elizabeth E. Bacon			
bm000140708	Ghia, Taryn (fl. 1993)	Ghia	Taryn	Taryn Ghia	fl. 	1993	
bm000358167	Pennock, C.W.	Pennock	C.W.	C.W. Pennock			
bm000359704	Russen, James	Russen	James	James Russen			
bm000363716	Kuo, Chin-Chen	Kuo	Chin-Chen	Chin-Chen Kuo			
bm000072694	Kuhnemann, Oscar (1911-1999)	Kuhnemann	Oscar	Oscar Kuhnemann		1911	1999
bm000370822	Berg, Rolf Y. (1925-)	Berg	Rolf Y.	Rolf Y. Berg		1925	
bm000133584	Mollel, N. (fl. 2001)	Mollel	N.	N. Mollel	fl. 	2001	
bm000373578	Smith, Annie Elizabeth Morrill (1856-1946)	Smith	Annie Elizabeth Morrill	Annie Elizabeth Morrill Smith		1856	1946
bm000348798	Johnson, C.W.	Johnson	C.W.	C.W. Johnson			
bm000334225	Kelsey, J.A.	Kelsey	J.A.	J.A. Kelsey			
bm000150496	Botohafa, P.	Botohafa	P.	P. Botohafa			
bm000350296	Moore, William	Moore	William	William Moore			
bm000371670	MacFarlane, Terry Desmond (1953-)	MacFarlane	Terry Desmond	Terry Desmond MacFarlane		1953	
bm000133550	Meredith, H. (fl. 1982-1984)	Meredith	H.	H. Meredith	fl. 	1982	1984
bm000059746	Klinge, Hans (1929-1999)	Klinge	Hans	Hans Klinge		1929	1999
bm000025820	Léopold III, Philippe Charles Albert Meinrad Hubertus Marie Miguel (1901-1983)	Léopold III	Philippe Charles Albert Meinrad Hubertus Marie Miguel	Philippe Charles Albert Meinrad Hubertus Marie Miguel Léopold III		1901	1983
bm000400800	Muntz, C.I. (-1982)	Muntz	C.I.	C.I. Muntz			
bm000376043	Fellows, Dana Willis (1847-1928)	Fellows	Dana Willis	Dana Willis Fellows		1847	1928
bm000352304	Sandoz, Emil (-1869)	Sandoz	Emil	Emil Sandoz			
bm000378214	Henn	Henn             					
bm000340553	Beston, John W.	Beston	John W.	John W. Beston			
bm000032220	Burne, E. (fl. 1929)	Burne	E.	E. Burne	fl. 	1929	
bm000056735	Duarte de Barros, W.	Duarte de Barros	W.	W. Duarte de Barros			
bm000373055	Nygaard, J.N. (fl. 1914)	Nygaard	J.N.	J.N. Nygaard	fl. 	1914	
bm000369413	Koyuncu, Mehmet (1944-)	Koyuncu	Mehmet	Mehmet Koyuncu		1944	
bm000377635	Wood, William (1745-1808)	Wood	William	William Wood		1745	1808
bm000360520	Waters, Thomas Frank	Waters	Thomas Frank	Thomas Frank Waters			
bm000381866	Cheng, Xiao (1957-)	Cheng	Xiao	Xiao Cheng		1957	
bm000339693	Hanson, Mark W.	Hanson	Mark W.	Mark W. Hanson			
bm000339883	Rupert	Rupert             					
bm000326949	Burton, John William (fl. 1860-1902)	Burton	John William	John William Burton	fl. 	1860	1902
