id	string	family	given	name	flag	start	end
bm000358609	Espírito Santo, Maria Dalila (1951-)	Espírito Santo	Maria Dalila	Maria Dalila Espírito Santo		1951	
bm000358847	Buddensieg, F.	Buddensieg	F.	F. Buddensieg			
bm000330764	Castro, Pedro (de) (1900-)	Castro	Pedro	Pedro Castro			
bm000128252	Ryan, W. (fl. 1993)	Ryan	W.	W. Ryan	fl. 	1993	
bm000330999	Rule, Kevin	Rule	Kevin	Kevin Rule			
bm000070043	Oehrens Bertossi, Edgardo (fl. 1958-1987)	Oehrens Bertossi	Edgardo	Edgardo Oehrens Bertossi	fl. 	1958	1987
bm000367224	Satô, Masami (1910-1984)	Satô	Masami	Masami Satô		1910	1984
bm000347663	Willard	Willard             					
bm000006504	Philcox, David (1926-2003)	Philcox	David	David Philcox		1926	2003
bm000043816	Brandbyge, John (1953-)	Brandbyge	John	John Brandbyge		1953	
bm000029686	Maurel, Charles	Maurel	Charles	Charles Maurel			
bm000348949	Kihara, Hiroshi (fl. 1955)	Kihara	Hiroshi	Hiroshi Kihara	fl. 	1955	
bm000349012	Akpinar, Nükhet	Akpinar	Nükhet	Nükhet Akpinar			
bm000338769	Carter, Barwell	Carter	Barwell	Barwell Carter			
bm000400856	Oswell, G.D.	Oswell	G.D.	G.D. Oswell			
bm000372099	Pulleine, Robert Henry (1869-1935)	Pulleine	Robert Henry	Robert Henry Pulleine		1869	1935
bm000140662	Pérez, Jorge	Pérez	Jorge	Jorge Pérez			
bm000047383	Patel, Mohanlal Bhanabhai (1926-)	Patel	Mohanlal Bhanabhai	Mohanlal Bhanabhai Patel		1926	
bm000367163	Dueñas, Margarita (1959-)	Dueñas	Margarita	Margarita Dueñas		1959	
bm000378461	Yates, Lorenzo Gordin (1837-1909)	Yates	Lorenzo Gordin	Lorenzo Gordin Yates		1837	1909
bm000325069	Reuterman, C.A.	Reuterman	C.A.	C.A. Reuterman			
bm000065279	Witte, Heinrich (1825-1917)	Witte	Heinrich	Heinrich Witte		1825	1917
bm000367336	Mazzucchelli, Vittorio (1859-1941)	Mazzucchelli	Vittorio	Vittorio Mazzucchelli		1859	1941
bm000142618	Gottlieb, E.H.B. (fl. 1794)	Gottlieb	E.H.B.	E.H.B. Gottlieb	fl. 	1794	
bm000051989	Mwasumbi, Leonard B. (1938-)	Mwasumbi	Leonard B.	Leonard B. Mwasumbi		1938	
bm000369341	Sedova, T.V. (1934-)	Sedova	T.V.	T.V. Sedova		1934	
bm000363194	Mathew, Brian Frederick (1936-)	Mathew	Brian Frederick	Brian Frederick Mathew		1936	
bm000348829	Müller, H.M.	Müller	H.M.	H.M. Müller			
bm000369716	Clarysse, Raymond (1943-)	Clarysse	Raymond	Raymond Clarysse		1943	
bm000352413	Pugh, A.	Pugh	A.	A. Pugh			
bm000349833	Howe, George R.	Howe	George R.	George R. Howe			
bm000153653	Richel, Thierry (1955-)	Richel	Thierry	Thierry Richel		1955	
bm000367820	Polák, Karl (1847-1900)	Polák	Karl	Karl Polák		1847	1900
bm000137193	Buratovich, F. (fl. 1947)	Buratovich	F.	F. Buratovich	fl. 	1947	
bm000372517	Loveland, Mary Ann (1853-1930)	Loveland	Mary Ann	Mary Ann Loveland		1853	1930
bm000048363	Fiennes, R.N. (fl. 1938)	Fiennes	R.N.	R.N. Fiennes	fl. 	1938	
bm000350463	Spitzer	Spitzer             					
bm000350371	Smith, G.E.	Smith	G.E.	G.E. Smith			
bm000338574	Czukaeva	Czukaeva             					
bm000379889	Pachunova, V.G. (1892-1958)	Pachunova	V.G.	V.G. Pachunova		1892	1958
bm000370162	Blauer, A. Clyde (1939-)	Blauer	A. Clyde	A. Clyde Blauer		1939	
bm000049410	Pedder, J.W.R. (fl. 1943)	Pedder	J.W.R.	J.W.R. Pedder	fl. 	1943	
bm000335876	Twisselmann, Ernest Christian (1917-1972)	Twisselmann	Ernest Christian	Ernest Christian Twisselmann		1917	1972
bm000129152	Crosby, Carol Anderson (-1995)	Crosby	Carol Anderson	Carol Anderson Crosby			
bm000001389	Channell, Robert Bennie (1924-2001)	Channell	Robert Bennie	Robert Bennie Channell		1924	2001
bm000027026	Bowie, James (1789-1869)	Bowie	James	James Bowie		1789	1869
bm000366667	Jacobasch, Ernst	Jacobasch	Ernst	Ernst Jacobasch			
bm000361410	Mégevand, Alphonze Jules Valentin (1842-1922)	Mégevand	Alphonze Jules Valentin	Alphonze Jules Valentin Mégevand		1842	1922
bm000153091	Parry, Emily	Parry	Emily	Emily Parry			
bm000348315	Wilson, Stark	Wilson	Stark	Stark Wilson			
bm000400206	Calvert, J.S. (1825-1884)	Calvert	J.S.	J.S. Calvert		1825	1884
bm000364957	Croall, H. (fl. 1897)	Croall	H.	H. Croall	fl. 	1897	
bm000348630	Crossle, G. de	Crossle	G. de	G. de Crossle			
bm000378492	Sauck, Ada	Sauck	Ada	Ada Sauck			
bm000028320	Lintner, J. (fl. 1934-1938)	Lintner	J.	J. Lintner	fl. 	1934	1938
bm000009819	Vierhapper, Friedrich (Karl Max) (1876-1932)	Vierhapper	Friedrich	Friedrich Vierhapper			
bm000030454	Timbert	Timbert             					
bm000150523	Bradbury, John (1768-1823)	Bradbury	John	John Bradbury		1768	1823
bm000131535	Roque, N. (fl. 1991)	Roque	N.	N. Roque	fl. 	1991	
bm000378134	Engelke, Carl (Karl) Friedrich August (1848-1926)	Engelke	Carl	Carl Engelke			
bm000027054	Fritzsche, Bertha (fl. 1902-1905)	Fritzsche	Bertha	Bertha Fritzsche	fl. 	1902	1905
bm000368682	Tehon, Leo Roy (1895-1954)	Tehon	Leo Roy	Leo Roy Tehon		1895	1954
bm000338925	Guzman, Leiva G.	Guzman	Leiva G.	Leiva G. Guzman			
bm000370515	Hoppe, Jürgen (1954-)	Hoppe	Jürgen	Jürgen Hoppe		1954	
bm000059660	Crosby, M.J. (fl. 1984-1988)	Crosby	M.J.	M.J. Crosby	fl. 	1984	1988
